16:51:52.679 [main] INFO  ADV.EMCO.login - URL Launched
16:52:14.426 [main] INFO  ADV.EMCO.login - Record Number 0 Processed:19650722
16:55:10.197 [main] INFO  ADV.EMCO.login - Record Number 1 Processed:19650754
16:55:18.390 [main] INFO  ADV.EMCO.login - Record Number 2 Processed:19650763
16:55:26.725 [main] INFO  ADV.EMCO.login - Record Number 3 Processed:19650765
16:55:34.048 [main] INFO  ADV.EMCO.login - Record Number 4 Processed:19650785
16:55:42.937 [main] INFO  ADV.EMCO.login - Record Number 5 Processed:19650786
16:55:50.507 [main] INFO  ADV.EMCO.login - Record Number 6 Processed:19650789
16:55:57.927 [main] INFO  ADV.EMCO.login - Record Number 7 Processed:19650800
16:56:05.365 [main] INFO  ADV.EMCO.login - Record Number 8 Processed:19650907
16:56:14.538 [main] INFO  ADV.EMCO.login - Record Number 9 Processed:19651779
16:56:23.926 [main] INFO  ADV.EMCO.login - Record Number 10 Processed:19651836
16:56:34.413 [main] INFO  ADV.EMCO.login - Record Number 11 Processed:19651844
16:56:41.948 [main] INFO  ADV.EMCO.login - Record Number 12 Processed:19651871
16:56:50.628 [main] INFO  ADV.EMCO.login - Record Number 13 Processed:19652875
16:57:00.523 [main] INFO  ADV.EMCO.login - Record Number 14 Processed:19652893
16:57:08.296 [main] INFO  ADV.EMCO.login - Record Number 15 Processed:19652895
16:57:15.697 [main] INFO  ADV.EMCO.login - Record Number 16 Processed:19652904
16:57:24.431 [main] INFO  ADV.EMCO.login - Record Number 17 Processed:19652907
16:57:32.399 [main] INFO  ADV.EMCO.login - Record Number 18 Processed:19652913
16:57:39.798 [main] INFO  ADV.EMCO.login - Record Number 19 Processed:19652925
16:57:48.757 [main] INFO  ADV.EMCO.login - Record Number 20 Processed:19652943
16:57:57.552 [main] INFO  ADV.EMCO.login - Record Number 21 Processed:19652944
16:58:06.315 [main] INFO  ADV.EMCO.login - Record Number 22 Processed:19652948
16:58:14.564 [main] INFO  ADV.EMCO.login - Record Number 23 Processed:19652958
16:58:22.210 [main] INFO  ADV.EMCO.login - Record Number 24 Processed:19652963
16:58:29.984 [main] INFO  ADV.EMCO.login - Record Number 25 Processed:19652971
16:58:38.017 [main] INFO  ADV.EMCO.login - Record Number 26 Processed:19652997
16:58:46.000 [main] INFO  ADV.EMCO.login - Record Number 27 Processed:19652998
16:58:53.781 [main] INFO  ADV.EMCO.login - Record Number 28 Processed:19653006
16:59:01.445 [main] INFO  ADV.EMCO.login - Record Number 29 Processed:19653020
16:59:09.069 [main] INFO  ADV.EMCO.login - Record Number 30 Processed:19653044
16:59:17.010 [main] INFO  ADV.EMCO.login - Record Number 31 Processed:19653047
16:59:25.451 [main] INFO  ADV.EMCO.login - Record Number 32 Processed:19653062
16:59:33.014 [main] INFO  ADV.EMCO.login - Record Number 33 Processed:19653084
16:59:40.835 [main] INFO  ADV.EMCO.login - Record Number 34 Processed:19653100
16:59:48.601 [main] INFO  ADV.EMCO.login - Record Number 35 Processed:19653105
16:59:55.779 [main] INFO  ADV.EMCO.login - Record Number 36 Processed:19653107
17:00:03.262 [main] INFO  ADV.EMCO.login - Record Number 37 Processed:19650685
17:00:11.477 [main] INFO  ADV.EMCO.login - Record Number 38 Processed:19650692
17:00:21.005 [main] INFO  ADV.EMCO.login - Record Number 39 Processed:19650702
17:26:32.393 [main] INFO  ADV.EMCO.login - Record Number 40 Processed:19650747
17:26:40.874 [main] INFO  ADV.EMCO.login - Record Number 41 Processed:19650751
17:26:48.808 [main] INFO  ADV.EMCO.login - Record Number 42 Processed:19650761
17:26:56.623 [main] INFO  ADV.EMCO.login - Record Number 43 Processed:19650843
17:27:03.831 [main] INFO  ADV.EMCO.login - Record Number 44 Processed:19650920
17:27:11.193 [main] INFO  ADV.EMCO.login - Record Number 45 Processed:19650921
17:27:18.679 [main] INFO  ADV.EMCO.login - Record Number 46 Processed:19650923
17:27:26.379 [main] INFO  ADV.EMCO.login - Record Number 47 Processed:19651783
17:27:34.353 [main] INFO  ADV.EMCO.login - Record Number 48 Processed:19651787
17:27:41.942 [main] INFO  ADV.EMCO.login - Record Number 49 Processed:19651789
17:27:50.170 [main] INFO  ADV.EMCO.login - Record Number 50 Processed:19651833
17:27:59.227 [main] INFO  ADV.EMCO.login - Record Number 51 Processed:19651843
